identifier,Arachnida,Aves,Insecta,Liliopsida,Magnoliopsida,Squamata,roadDensity,waterwayDensity,paDensity,forestCover,habitatModification
1,0,0,0,0,0,0,0.015,0.2,0.601,0.41045,0.92121
2,0,0,0,0,0,0,0.042,0.439,0.951,0.30115,0.989899
3,0,0,0,0,0,0,0.042,0.299,0.706,0.77499,0.949495
4,0,0,0,0,0,0,0.431,0.46,0,0.99998,0.680441
5,0,0,0,0,0.07492,0,0.15,0.086,0,0.99998,0.909091
6,0,0.06394,0,0,0.07492,0,0.013,0.041,0.001,0.99657,0.975207
7,0.50467,0.01279,0.04899,0,0,0,0.147,0,0.219,0.99998,0.837466
8,0.50467,0,0,0,0,0,0.167,0.505,0.76,0.99998,0.870523
9,0.50467,0,0,0,0,0,0.09,0.612,0.411,0.99998,0.757576
10,0,0,0,0,0.07492,0,0.094,0.369,0,1,0.95262
11,0,0.02558,0.01633,0,0.14983,0,0.246,0.633,0.075,0.99998,0.901515
12,1.00935,0,0.06532,0.25532,0.07492,0,0.346,0.081,0.021,1,0.808333
13,0,0.07673,0.16805,0,0,0,0.29,0.628,0.013,1,0.85101
14,0,0.11027,0,0,0.07492,0,0.239,0.543,0.042,1,0.89313
15,0.50467,0.93352,0.032266,0,0.37459,0.84457,1,0.948,0.054,1,0.584022
16,0,0.12788,0.03266,0.51064,0.59934,0,0.753,1,0.367,1,0.592287
17,0,0.02588,0,0,0.37459,0,0.363,0.781,0.504,0.49917,0.727273
18,0,1.58571,0.35928,1.2766,0.22475,0.42229,0.306,0.02,0.885,1,0.906061
19,2.52337,1.49619,0.81654,0,0.14983,0.63343,0.464,0.14,0.694,1.00002,0.8532994
20,0.50467,0.29412,0.16331,0.51064,0,0,0.305,0.308,0.693,0.00188,0.795082
21,0,0.47315,0.03266,0,0.82409,0,0.098,0.649,0.866,0.23406,0.891414
22,0.50467,0,0,0,0.59934,0,0,0,0.998,1.00002,0.997475
23,0,0,0,0,0.74917,0.42229,0.137,0,1,1.00002,0.979798
24,0,0.49873,0.03266,0.25532,0.14983,0.21114,0.989,0.592,0.007,0.99995,0.393939
25,0.50467,0,0.04899,0.25532,0.07492,0,0.358,0.029,0.291,0.88342,0.567493
26,0,0.78007,0.11432,0,0.14983,0.63343,0.384,0.138,0.486,0.99995,0.658402
,0.271746538,0.250175385,0.074283692,0.11784,0.184411923,0.121813462,,,,,
