,Arachnida,Aves,Insecta,Liliopsida,Magnoliopsida,Squamata
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0.16667,0
6,0,0,0,0,0.16667,0
7,0.16667,0.5,0.375,0,0,0
8,0.16667,0.16667,0,0,0,0
9,0.16667,0,0,0,0,0
10,0,0,0,0,0.16667,0
11,0,0.285714,0.16667,0,0.285714,0
12,0.285714,0,0.44444,0.16667,0.16667,0
13,0,0.54546,0.6875,0,0,0
14,0.64286,0,0,0,0.16667,0
15,0.16667,0.9359,0.72222,0,0.5,0.44444
16,0,0.96124,0.28571,0.28571,0.61539,0
17,0,0.28571,0,0.5,0.375,0.28571
18,0,0.96124,0.81482,0.5,0.375,0.28571
19,0.5,0.959016,0.90909,0,0.28571,0.375
20,0.16667,0.82143,0.66667,0.28571,0.16667,0
21,0,0.88095,0.28571,0,0.6875,0
22,0.16667,0,0,0,0.61539,0
23,0,0,0,0,0.66667,0.28571
24,0,0.88636,0.28571,0.16667,0.28571,0.16667
25,0.16667,0,0.375,0.16667,0.16667,0
26,0,0.92424,0.58333,0,0.28571,0.375
