identifier,Number of species (Sobs) (Ri) ,Q1, Q2,Total records,Sund,Rounded,Sexp (incl),Sexp,mdef,Gcom,Ni,Si,Gign where O0.05 = 1,Gign where O0.05 = 5,Gign where O0.05 = 10,Ginv
1,0,0,0,0,0,0,0,,99,0,0,0,1,1,1,0
2,0,0,0,0,0,0,0,,99,0,0,0,1,1,1,0
3,0,0,0,0,0,0,0,,99,0,0,0,1,1,1,0
4,0,0,0,0,0,0,0,,99,0,0,0,1,1,1,0
5,1,0,0,1,0,0,1,,99,0.01,1,1,0.5,0.833,0.909,0.167
6,1,0,0,1,0,0,1,,99,0.01,1,1,0.5,0.833,0.909,0.167
7,9,9,0,10,34.105,34,43,43,,0.209,10,1.11,0.091,0.333,0.5,0.667
8,2,2,0,4,0.947,1,3,,99,0.02,4,2,0.2,0.263,0.714,0.737
9,2,2,0,2,0.947,1,3,,99,0.02,2,1,0.333,0.714,0.833,0.286
10,1,1,0,1,0,0,1,,99,0.01,1,1,0.5,0.833,0.909,0.167
11,6,6,0,6,14.211,14,20,,99,0.061,6,1,0.143,0.455,0.625,0.545
12,9,9,0,9,34.105,34,43,,99,0.091,9,1,0.1,0.357,0.526,0.643
13,18,18,0,18,144.947,145,163,163,,0.11,18,1,0.053,0.217,0.357,0.783
14,11,11,0,11,52.105,52,63,63,,0.175,11,1,0.833,0.316,0.476,0.684
15,93,66,13,168,145.15,145,238,238,,0.317,168,1.806,0.006,0.024,0.056,0.976
16,22,19,1,32,81,81,103,103,,0.214,32,1.455,0.03,0.135,0.238,0.865
17,7,5,0 (several NULL years),11,9.474,9,16,,99,0.071,11,1.571,0.833,0.316,0.476,0.684
18,177,119,23,555,277.145,277,454,454,,0.39,555,3.136,0.002,0.008,0.017,0.992
19,187,127,34,414,216.568,217,404,404,,0.463,414,2.214,0.002,0.012,0.024,0.988
20,38,36,0,45,596.842,597,635,635,,0.06,45,1.184,0.022,0.1,0.182,0.9
21,50,41,7,273,97.105,97,147,147,,0.34,273,5.46,0.004,0.018,0.035,0.982
22,9,7,0 (several NULL years),15,19.895,20,29,,99,0.091,15,1.667,0.063,0.25,0.4,0.75
23,13,10,0 (several NULL years),19,42.632,43,56,56,,0.232,19,1.46,0.05,0.208,0.345,0.792
24,46,27,11,97,27.711,27,73,73,,0.63,97,2.109,0.01,0.049,0.093,0.951
25,7,6,0,8,14.211,14,21,,99,0.071,8,1.143,0.111,0.385,0.556,0.615
26,74,59,13,261,115.782,116,190,190,,0.389,261,3.527,0.004,0.019,0.037,0.981
