,Invertebrates,Vertebrates,Plantae,roadDensity,waterwayDensity,paDensity
1,0,0,0,0.015,0.2,0.601
2,0,0,0,0.042,0.439,0.951
3,0,0,0,0.042,0.299,0.706
4,0,0,0,0.431,0.46,0
5,0,0,0.0394395,0.15,0.086,0
6,0,0,0.0394395,0.013,0.041,0.001
7,0.275875,0.030631,0,0.147,0,0.219
8,0.252959,0.006126,0,0.167,0.505,0.76
9,0.252959,0,0,0.09,0.612,0.411
10,0,0,0.0394395,0.094,0.369,0
11,0.007639,0.0122525,0.07888,0.246,0.633,0.075
12,0.53647,0,0.068405,0.346,0.081,0.021
13,0.12978,0,0,0.29,0.628,0.013
14,0.03944,0.055135,0,0.239,0.543,0.042
15,0.353315,0.84721,0.1972,1,0.948,0.054
16,0.01649,0.06126,0.52367,0.753,1,0.367
17,0,0.01225,0.174265,0.363,0.781,0.504
18,0.181375,0.971935,0.716675,0.306,0.02,0.885
19,1.677005,1.035195,0.069705,0.464,0.14,0.694
20,0.335404,0.1409015,0.244845,0.305,0.308,0.693
21,0.01649,0.22667,0.383385,0.098,0.649,0.866
22,0.25296,0,0.278825,0,0,0.998
23,0,0.21229,0.34853,0.137,0,1
24,0.01649,0.345065,0.19213,0.989,0.592,0.007
25,0.227695,0,0.15728,0.358,0.029,0.291
26,0.05771,0.69213,0.069705,0.384,0.138,0.486
