identifier,class,Sobs,q1,q2,m,(m-1/m),q1(q1-1),2(q2+1),S(und),Sexp,Sexp (average),Sexp,Gcom,O0.05,Gign,Ginv
5,Agaricomycetes,2,2,0,24,0.958333333,2,2,0.958333333,2.958333333,1.979166667,1.979166667,1.010526316,5,0.714285714,0.285714286
6,Agaricomycetes,1,1,0,24,0.958333333,0,2,0,1,,1.979166667,0.505263158,5,0.833333333,0.166666667
7,Amphibia,1,1,0,24,0.958333333,0,2,0,1,1.975,1.975,0.506329114,5,0.833333333,0.166666667
7,Amphibia,1,1,0,24,0.958333333,0,2,0,1,,1.975,0.506329114,5,0.833333333,0.166666667
7,Amphibia,1,1,0,24,0.958333333,0,2,0,1,,1.975,0.506329114,5,0.833333333,0.166666667
8,Amphibia,3,3,0,24,0.958333333,6,2,2.875,5.875,,1.975,1.518987342,5,0.625,0.375
8,Amphibia,1,1,0,24,0.958333333,0,2,0,1,,1.975,0.506329114,5,0.833333333,0.166666667
9,Arachnida,1,1,0,24,0.958333333,0,2,0,1,1.981481481,1.98148,0.504673275,5,0.833333333,0.166666667
9,Arachnida,1,1,0,24,0.958333333,0,2,0,1,,1.98148,0.504673275,5,0.833333333,0.166666667
10,Arachnida,1,1,0,24,0.958333333,0,2,0,1,,1.98148,0.504673275,5,0.833333333,0.166666667
11,Arachnida,2,2,0,24,0.958333333,2,2,0.958333333,2.958333333,,1.98148,1.009346549,5,0.714285714,0.285714286
11,Arachnida,1,1,0,24,0.958333333,0,2,0,1,,1.98148,0.504673275,5,0.833333333,0.166666667
11,Arachnida,5,4,1,24,0.958333333,12,4,2.875,7.875,,1.98148,2.523366373,5,0.5,0.5
11,Arachnida,1,1,0,24,0.958333333,0,2,0,1,,1.98148,0.504673275,5,0.833333333,0.166666667
12,Arachnida,1,1,0,24,0.958333333,0,2,0,1,,1.98148,0.504673275,5,0.833333333,0.166666667
12,Arachnida,1,1,0,24,0.958333333,0,2,0,1,,1.98148,0.504673275,5,0.833333333,0.166666667
12,Aves,5,5,0,24,0.958333333,20,2,9.583333333,14.58333333,78.19851545,78.19851545,0.063939833,5,0.5,0.5
12,Aves,1,1,0,24,0.958333333,0,2,0,1,,78.19851545,0.012787967,5,0.833333333,0.166666667
12,Aves,2,2,0,24,0.958333333,2,2,0.958333333,2.958333333,,78.19851545,0.025575933,5,0.714285714,0.285714286
13,Aves,6,6,0,24,0.958333333,30,2,14.375,20.375,,78.19851545,0.076727799,5,0.454545455,0.545454545
13,Aves,9,9,0,24,0.958333333,72,2,34.5,43.5,,78.19851545,0.115091699,5,0.357142857,0.642857143
13,Aves,73,48,11,24,0.958333333,2256,24,90.08333333,163.0833333,,78.19851545,0.933521558,5,0.064102564,0.935897436
14,Aves,10,9,1,24,0.958333333,72,4,17.25,27.25,,78.19851545,0.127879666,,,
14,Aves,2,2,0,24,0.958333333,2,2,0.958333333,2.958333333,,78.19851545,0.025575933,5,0.714285714,0.285714286
14,Aves,124,74,22,24,0.958333333,5402,46,112.5416667,236.5416667,,78.19851545,1.585707852,5,0.03875969,0.96124031
15,Aves,117,62,29,24,0.958333333,3782,60,60.40694444,177.4069444,,78.19851545,1.496192087,5,0.040983607,0.959016393
15,Aves,23,21,1,24,0.958333333,420,4,100.625,123.625,,78.19851545,0.294123231,5,0.178571429,0.821428571
15,Aves,37,30,7,24,0.958333333,870,16,52.109375,89.109375,,78.19851545,0.473154762,5,0.119047619,0.880952381
15,Aves,39,20,11,24,0.958333333,380,24,15.17361111,54.17361111,,78.19851545,0.498730696,5,0.113636364,0.886363636
