wkt_geom,gbifID,datasetKey,occurrenceID,kingdom,phylum,GROUP,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,identifier,Gcom,AverageGCom,Ginv,AverageGInv,verbatimScientificName,year,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,id,left,top,right,bottom,row_index,col_index,area,id_2,left_2,top_2,right_2,bottom_2,row_index_2,col_index_2,area_2,fid
MultiPoint ((99.62505000000000166 19.87667700000000082)),2663715482,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS727136077,Animalia,Chordata,Vertebrates,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris,,SPECIES,"Abroscopus superciliaris (Blyth, 1859)",18,0.39,,0.992,,Abroscopus superciliaris,2019,,TH,Lam Nam Kok NP--Khun Korn Waterfall,Chiang Rai,PRESENT,4,e2e717bf-551a-4917-bdc9-4fa0f342c530,19.876677,99.62505,NA,NA,NA,NA,NA,NA,15/03/2019,15,3,2493238,2493238,HUMAN_OBSERVATION,CLO,EBIRD,OBS727136077,NA,,NA,CC_BY_4_0,,obsr921108,NA,NA,2025-11-07T06:22:42.322,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23
MultiPoint ((99.62669999999999959 19.87580900000000028)),576006978,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS97980007,Animalia,Chordata,Vertebrates,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris,,SPECIES,"Abroscopus superciliaris (Blyth, 1859)",18,0.39,,0.992,,Abroscopus superciliaris,2008,,TH,Khun Korn Waterfall,Chiang Rai,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,19.875809,99.6267,NA,NA,NA,NA,NA,NA,20/12/2008,20,12,2493238,2493238,HUMAN_OBSERVATION,CLO,EBIRD,OBS97980007,NA,,NA,CC_BY_4_0,,obsr226854,NA,NA,2025-11-07T06:12:09.614,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23
MultiPoint ((99.62505000000000166 19.87667700000000082)),2699253395,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS814210261,Animalia,Chordata,Vertebrates,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris,,SPECIES,"Abroscopus superciliaris (Blyth, 1859)",18,0.39,,0.992,,Abroscopus superciliaris,2019,,TH,Lam Nam Kok NP--Khun Korn Waterfall,Chiang Rai,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,19.876677,99.62505,NA,NA,NA,NA,NA,NA,08/10/2019,8,10,2493238,2493238,HUMAN_OBSERVATION,CLO,EBIRD,OBS814210261,NA,,NA,CC_BY_4_0,,obsr623076,NA,NA,2025-11-07T05:59:38.112,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23
MultiPoint ((99.59597999999999729 19.9009999999999998)),4718368065,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1849724408,Animalia,Chordata,Vertebrates,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris,,SPECIES,"Abroscopus superciliaris (Blyth, 1859)",18,0.39,,0.992,,Abroscopus superciliaris,2023,,TH,"Pang Khon Royal Project, Chiang Rai TH-Chiang Rai (19.9010,99.5960)",Chiang Rai,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,19.901,99.59598,NA,NA,NA,NA,NA,NA,14/10/2023,14,10,2493238,2493238,HUMAN_OBSERVATION,CLO,EBIRD,OBS1849724408,NA,,NA,CC_BY_4_0,,obsr625518,NA,NA,2025-11-07T06:16:15.336,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23
MultiPoint ((99.62505000000000166 19.87667700000000082)),3175278894,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS954202781,Animalia,Chordata,Vertebrates,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris,,SPECIES,"Abroscopus superciliaris (Blyth, 1859)",18,0.39,,0.992,,Abroscopus superciliaris,2020,,TH,Lam Nam Kok NP--Khun Korn Waterfall,Chiang Rai,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,19.876677,99.62505,NA,NA,NA,NA,NA,NA,10/07/2020,10,7,2493238,2493238,HUMAN_OBSERVATION,CLO,EBIRD,OBS954202781,NA,,NA,CC_BY_4_0,,obsr1042775,NA,NA,2025-11-07T06:17:51.297,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23
MultiPoint ((99.62505000000000166 19.87667700000000082)),2757367877,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS734981880,Animalia,Chordata,Vertebrates,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris,,SPECIES,"Abroscopus superciliaris (Blyth, 1859)",18,0.39,,0.992,,Abroscopus superciliaris,2019,,TH,Lam Nam Kok NP--Khun Korn Waterfall,Chiang Rai,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,19.876677,99.62505,NA,NA,NA,NA,NA,NA,25/03/2019,25,3,2493238,2493238,HUMAN_OBSERVATION,CLO,EBIRD,OBS734981880,NA,,NA,CC_BY_4_0,,obsr1101857,NA,NA,2025-11-07T06:10:24.059,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23
MultiPoint ((99.62505000000000166 19.87667700000000082)),3190422616,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS960132051,Animalia,Chordata,Vertebrates,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris,,SPECIES,"Abroscopus superciliaris (Blyth, 1859)",18,0.39,,0.992,,Abroscopus superciliaris,2020,,TH,Lam Nam Kok NP--Khun Korn Waterfall,Chiang Rai,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,19.876677,99.62505,NA,NA,NA,NA,NA,NA,10/07/2020,10,7,2493238,2493238,HUMAN_OBSERVATION,CLO,EBIRD,OBS960132051,NA,,NA,CC_BY_4_0,,obsr1049392,NA,NA,2025-11-07T05:58:39.030,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23
MultiPoint ((99.62505000000000166 19.87667700000000082)),3165163987,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS954287514,Animalia,Chordata,Vertebrates,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris,,SPECIES,"Abroscopus superciliaris (Blyth, 1859)",18,0.39,,0.992,,Abroscopus superciliaris,2020,,TH,Lam Nam Kok NP--Khun Korn Waterfall,Chiang Rai,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,19.876677,99.62505,NA,NA,NA,NA,NA,NA,10/07/2020,10,7,2493238,2493238,HUMAN_OBSERVATION,CLO,EBIRD,OBS954287514,NA,,NA,CC_BY_4_0,,obsr750152,NA,NA,2025-11-07T06:29:40.996,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23
MultiPoint ((99.59597999999999729 19.9009999999999998)),4683629759,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1904611261,Animalia,Chordata,Vertebrates,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris,,SPECIES,"Abroscopus superciliaris (Blyth, 1859)",18,0.39,,0.992,,Abroscopus superciliaris,2023,,TH,"Pang Khon Royal Project, Chiang Rai TH-Chiang Rai (19.9010,99.5960)",Chiang Rai,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,19.901,99.59598,NA,NA,NA,NA,NA,NA,24/12/2023,24,12,2493238,2493238,HUMAN_OBSERVATION,CLO,EBIRD,OBS1904611261,NA,,NA,CC_BY_4_0,,obsr625518,NA,NA,2025-11-07T06:38:19.730,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23
MultiPoint ((99.62505000000000166 19.87667700000000082)),3179157983,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS955008773,Animalia,Chordata,Vertebrates,Aves,Passeriformes,Cettiidae,Abroscopus,Abroscopus superciliaris,,SPECIES,"Abroscopus superciliaris (Blyth, 1859)",18,0.39,,0.992,,Abroscopus superciliaris,2020,,TH,Lam Nam Kok NP--Khun Korn Waterfall,Chiang Rai,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,19.876677,99.62505,NA,NA,NA,NA,NA,NA,10/07/2020,10,7,2493238,2493238,HUMAN_OBSERVATION,CLO,EBIRD,OBS955008773,NA,,NA,CC_BY_4_0,,obsr952034,NA,NA,2025-11-07T06:34:08.365,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23,557203.8745,2207365.083,567203.8745,2197365.083,1,3,100070473,23
